"uid","namedLocation","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","plotID","subplotID","endDate","boutNumber","samplingProtocolVersion","targetTaxaPresent","taxonID","scientificName","taxonRank","family","nativeStatusCode","identificationQualifier","taxonIDRemarks","morphospeciesID","morphospeciesIDRemarks","identificationReferences","additionalSpecies","remarks","measuredBy","recordedBy"
"aca8ab6a-0c40-46c1-8db5-7cc7b9c9e477","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","32.2.10","2015-08-03",1,NA,"Y","AMEL","Amyris elemifera L.","species","Rutaceae","N",NA,"","",NA,NA,NA,NA,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"e7dbe755-1bf3-47a1-913a-aacb00c8253c","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","40.3.10","2015-08-03",1,NA,"Y","RAAC","Randia aculeata L.","species","Rubiaceae","N",NA,"","",NA,NA,NA,NA,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"7678baba-7b3c-4b31-8791-82a53b0bbc83","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","32.2.10","2015-08-03",1,NA,"Y","BOURRSPP","Bourreria spp.","genus","Boraginaceae","N",NA,"","",NA,NA,NA,NA,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"7b8eb61a-3343-4cc3-a29c-e22639acc453","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31","2015-08-03",1,NA,"Y","SWMA2","Swietenia mahagoni (L.) Jacq.","species","Meliaceae","N",NA,"","",NA,NA,NA,NA,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"bcf2be74-bc38-4713-8dbd-7e9d97eeb6c9","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.4.10","2015-08-03",1,NA,"Y","BOURR","Bourreria sp.","genus","Boraginaceae","N",NA,"","",NA,NA,NA,NA,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"acfe75ac-77a0-4598-9e3e-d53de2dc56ed","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","32","2015-08-03",1,NA,"Y","CAHA9","Capparis hastata Jacq.","species","Capparaceae","N",NA,"","",NA,NA,NA,NA,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"3d9dce4f-4fb5-42e6-9c87-37ee11c1c4bc","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.4.10","2015-08-03",1,NA,"Y","PIUN","Pithecellobium unguis-cati (L.) Benth.","species","Fabaceae","N",NA,"","",NA,NA,NA,NA,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"5d000bcc-196b-4701-9e2e-66a30270aec3","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","32","2015-08-03",1,NA,"Y","BUSI","Bursera simaruba (L.) Sarg.","species","Burseraceae","N",NA,"","",NA,NA,NA,NA,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"cc58d7a8-303a-486f-becd-7564508e09dd","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.4.10","2015-08-03",1,NA,"Y","EUFO3","Eugenia foetida Pers.","species","Myrtaceae","N",NA,"","",NA,NA,NA,NA,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"6e1350df-d1a9-4bda-bd82-5627e121a5a8","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","32","2015-08-03",1,NA,"Y","COAR3","Colubrina arborescens (Mill.) Sarg.","species","Rhamnaceae","N",NA,"","",NA,NA,NA,NA,"VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
