"uid","namedLocation","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","plotID","subplotID","endDate","boutNumber","samplingProtocolVersion","divDataType","targetTaxaPresent","otherVariablesPresent","taxonID","scientificName","taxonRank","family","nativeStatusCode","identificationQualifier","taxonIDRemarks","morphospeciesID","morphospeciesIDRemarks","identificationReferences","otherVariables","percentCover","heightPlantOver300cm","heightPlantSpecies","remarks","measuredBy","recordedBy"
"43a397c1-3e52-493f-a756-23928e535c81","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.1.1","2015-08-03",1,NA,"plantSpecies","Y","","GUSA","Guaiacum sanctum L.","species","Zygophyllaceae","N",NA,"","",NA,NA,"",0.5,"N",4,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"6a0df57e-0ec4-45af-9573-7bc4cb25ee4a","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.4.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"litter",64,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"5cefb551-f886-4afb-9976-9c7db30bc41e","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.4.1","2015-08-03",1,NA,"plantSpecies","Y","","ARCA20","Argythamnia candicans Sw.","species","Euphorbiaceae","N",NA,"","",NA,NA,"",1,"N",35,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"e5458e3e-f9a0-4fee-a919-2e24932a24b6","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.1.1","2015-08-03",1,NA,"plantSpecies","Y","","KRFE","Krugiodendron ferreum (Vahl) Urb.","species","Rhamnaceae","N",NA,"","",NA,NA,"",1,"N",85,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"e143bf60-525e-4e3d-bb0f-faa2ce62c164","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","32.4.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"litter",91,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"706276d6-05f8-4df3-aadd-95f78787e1a7","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","32.2.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"overstory",80,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"0256a500-2cab-4e5f-8064-e19044fcf434","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.1.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"overstory",50,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"c6f62901-5d31-4f22-bd18-da0bb623e65d","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","32.4.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"rock",3,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"a0256992-7fed-4a6e-8339-03e5bffdb3b0","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.1.1","2015-08-03",1,NA,"plantSpecies","Y","","FABACE","Fabaceae sp.","family","Fabaceae","UNK",NA,"","",NA,NA,"",0.5,"N",23,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"3119d16c-2153-4cfa-9756-534471d14fa3","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.4.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"wood",3,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
