"uid","namedLocation","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","subtypeSpecification","transectMeter","directionFromTransect","ninetyDegreeDistance","sampleLatitude","sampleLongitude","sampleGeodeticDatum","sampleCoordinateUncertainty","sampleElevation","sampleElevationUncertainty","date","editedDate","individualID","taxonID","scientificName","identificationQualifier","taxonRank","growthForm","vstTag","samplingProtocolVersion","measuredBy","identifiedBy","recordedBy","remarks","dataQF"
"074371e9-d80f-4d38-9738-1289488df295","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",486,"Left",8.3,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06001","GYLU","Gymnanthes lucida Sw.",NA,"species","Evergreen broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"9a8d5079-f907-4db2-b439-010a363c610a","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",314,"Left",6.4,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06010","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"dced1f63-8be5-4ef0-a0ca-e42c15312575","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",2.7,"Right",4,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06006","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","mbt with supporting tag A",NA
"7e876506-549a-4fe3-ad0a-b59a16f1da68","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",300,"Left",1.9,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06009","GYLU","Gymnanthes lucida Sw.",NA,"species","Evergreen broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"252bc9b2-d54c-4a90-8c74-2b256a279bdc","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",597,"Right",3,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06004","GYLU","Gymnanthes lucida Sw.",NA,"species","Evergreen broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"9b44d1d1-7185-4019-b2b0-12bc7b12c7f4","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",486,"Left",8.3,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06001","GYLU","Gymnanthes lucida Sw.",NA,"species","Evergreen broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"e4d406b6-984c-4f3b-a2a5-dc4fd1f35a69","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",314,"Left",6.4,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06010","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"ead5124d-2e21-4e05-b252-077ff6d43d87","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",2.7,"Right",4,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06006","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","mbt with supporting tag A",NA
"f78300ab-8686-4655-8192-c51211446620","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",714,"Right",5.9,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06005","GYLU","Gymnanthes lucida Sw.",NA,"species","Evergreen broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
"3fa41c9b-8ebb-4fb1-90b6-0a70e791dfd0","GUAN_062.phenology.phe","D04","GUAN","GUAN_062",17.968477,-66.863548,NA,NA,124.7,NA,"primary",503,"Right",3.4,NA,NA,"WGS84",NA,NA,NA,"2015-06-25","2015-07-09","NEON.PLA.D04.GUAN.06003","PIAL3","Pisonia albida (Heimerl) Britton ex Standl.",NA,"species","Drought deciduous broadleaf",NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","",NA
