"uid","namedLocation","date","eventID","domainID","siteID","plotID","individualID","tagStatus","growthForm","plantStatus","stemDiameter","measurementHeight","height","baseCrownHeight","breakHeight","breakDiameter","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","shape","basalStemDiameter","basalStemDiameterMsrmntHeight","maxBaseCrownDiameter","ninetyBaseCrownDiameter","remarks","recordedBy","measuredBy","dataQF"
"4e14e9ec-b977-4f52-aacb-fd3ed6550d23","GUAN_002.basePlot.vst","2015-08-13","vst_GUAN_2015","D04","GUAN","GUAN_002","NEON.PLA.D04.GUAN.01950",NA,"single bole tree","Live",13.1,130,9,NA,NA,NA,2.6,2.2,"Open grown","",NA,NA,NA,NA,"Additional technicians: emartinez@field-ops.org and ddelacruzgaitan@field-ops.org","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","8rHzSbnDOXhpq1RB6lSoH2hgWBtav0ErlRGPB+twq8M=","legacyData"
"bb3a13bb-cd49-4c5b-aaf0-c4240c7638c2","GUAN_002.basePlot.vst","2015-08-13","vst_GUAN_2015","D04","GUAN","GUAN_002","NEON.PLA.D04.GUAN.01935",NA,"single bole tree","Live",10.8,130,6,NA,NA,NA,3.1,2.8,"Open grown","",NA,NA,NA,NA,"Additional technicians: emartinez@field-ops.org and ddelacruzgaitan@field-ops.org","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","8rHzSbnDOXhpq1RB6lSoH2hgWBtav0ErlRGPB+twq8M=","legacyData"
"7ad40d05-3c87-4368-be89-82b791d82bcd","GUAN_002.basePlot.vst","2015-08-13","vst_GUAN_2015","D04","GUAN","GUAN_002","NEON.PLA.D04.GUAN.01846",NA,"sapling","Live",1.4,10,1.2,NA,NA,NA,NA,NA,"Full shade","",NA,NA,NA,NA,"Additional technicians: emartinez@field-ops.org and ddelacruzgaitan@field-ops.org","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","8rHzSbnDOXhpq1RB6lSoH2hgWBtav0ErlRGPB+twq8M=","legacyData"
"118e94f5-c117-4589-82d9-a7554a98f066","GUAN_002.basePlot.vst","2015-08-13","vst_GUAN_2015","D04","GUAN","GUAN_002","NEON.PLA.D04.GUAN.01940",NA,"single bole tree","Live",10.3,130,5.5,NA,NA,NA,5,3,"Full sun","",NA,NA,NA,NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","8rHzSbnDOXhpq1RB6lSoH2hgWBtav0ErlRGPB+twq8M=","legacyData"
"7db042f6-a515-4cbe-b9e6-510d8e994020","GUAN_002.basePlot.vst","2015-08-13","vst_GUAN_2015","D04","GUAN","GUAN_002","NEON.PLA.D04.GUAN.01941",NA,"single bole tree","Live",14.1,130,8.5,NA,NA,NA,3.5,2.8,"Open grown","",NA,NA,NA,NA,"Additional technicians: emartinez@field-ops.org and ddelacruzgaitan@field-ops.org","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","8rHzSbnDOXhpq1RB6lSoH2hgWBtav0ErlRGPB+twq8M=","legacyData"
"76261227-1164-429c-97d0-f790ec3dc16e","GUAN_002.basePlot.vst","2015-08-13","vst_GUAN_2015","D04","GUAN","GUAN_002","NEON.PLA.D04.GUAN.01844",NA,"sapling","Live",1.5,10,1.2,NA,NA,NA,NA,NA,"Full shade","",NA,NA,NA,NA,"Additional technicians: emartinez@field-ops.org and ddelacruzgaitan@field-ops.org","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","8rHzSbnDOXhpq1RB6lSoH2hgWBtav0ErlRGPB+twq8M=","legacyData"
"1fe635f3-0321-45aa-828b-77f5e43c62e1","GUAN_002.basePlot.vst","2015-08-13","vst_GUAN_2015","D04","GUAN","GUAN_002","NEON.PLA.D04.GUAN.01946",NA,"single bole tree","Live",13.6,130,5.5,NA,NA,NA,5,4.2,"Partially shaded","",NA,NA,NA,NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","g9AObJQf3eYkUFZYJaxA4ygWnVX2Kjzk","legacyData"
"a9552b47-e123-4964-9112-46db76e65ac4","GUAN_002.basePlot.vst","2015-08-13","vst_GUAN_2015","D04","GUAN","GUAN_002","NEON.PLA.D04.GUAN.01575",NA,"small tree","Standing dead",9.3,130,3.9,NA,NA,NA,NA,NA,"Full sun","",NA,NA,NA,NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","g9AObJQf3eYkUFZYJaxA4ygWnVX2Kjzk","legacyData"
"c525ecf5-2f07-4726-9ea2-bae0ef09c8d9","GUAN_002.basePlot.vst","2015-08-13","vst_GUAN_2015","D04","GUAN","GUAN_002","NEON.PLA.D04.GUAN.01850",NA,"small tree","Live",2.6,130,3.8,NA,NA,NA,NA,NA,"Open grown","",NA,NA,NA,NA,"Additional technicians: emartinez@field-ops.org and ddelacruzgaitan@field-ops.org","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","8rHzSbnDOXhpq1RB6lSoH2hgWBtav0ErlRGPB+twq8M=","legacyData"
"19236e6a-5431-4f28-b29b-3f13ffe156b0","GUAN_002.basePlot.vst","2015-08-13","vst_GUAN_2015","D04","GUAN","GUAN_002","NEON.PLA.D04.GUAN.01849",NA,"small shrub","Live",2,10,1.2,NA,NA,NA,NA,NA,"Full shade","inverted cone",NA,NA,95,60,"Small shrub had another qualifying stem with a stem diameter of 1.90 cm and a messuarement height of 10 cm other features remained the same. Additional technicians: emartinez@field-ops.org and ddelacruzgaitan@field-ops.org","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","8rHzSbnDOXhpq1RB6lSoH2hgWBtav0ErlRGPB+twq8M=","legacyData"
"7d16434f-2284-4528-b229-abdaf9205534","GUAN_002.basePlot.vst","2015-08-13","vst_GUAN_2015","D04","GUAN","GUAN_002","NEON.PLA.D04.GUAN.01952",NA,"sapling","Live",1.6,10,1.6,NA,NA,NA,NA,NA,"Full shade","",NA,NA,NA,NA,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","g9AObJQf3eYkUFZYJaxA4ygWnVX2Kjzk","legacyData"
"fa03dc07-e0d1-45de-9a80-1def6b4c3dd4","GUAN_002.basePlot.vst","2015-08-13","vst_GUAN_2015","D04","GUAN","GUAN_002","NEON.PLA.D04.GUAN.01942",NA,"single bole tree","Live",10.5,130,6.3,NA,NA,NA,3.3,2.8,"Open grown","",NA,NA,NA,NA,"Additional technicians: emartinez@field-ops.org and ddelacruzgaitan@field-ops.org","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","8rHzSbnDOXhpq1RB6lSoH2hgWBtav0ErlRGPB+twq8M=","legacyData"
"b78f641d-f0ff-487b-84e2-107aef8a483a","GUAN_002.basePlot.vst","2015-08-13","vst_GUAN_2015","D04","GUAN","GUAN_002","NEON.PLA.D04.GUAN.01842",NA,"small tree","Live",3,130,3.1,NA,NA,NA,NA,NA,"Full sun","",NA,NA,NA,NA,"Additional technicians: emartinez@field-ops.org and ddelacruzgaitan@field-ops.org","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","8rHzSbnDOXhpq1RB6lSoH2hgWBtav0ErlRGPB+twq8M=","legacyData"
