"uid","namedLocation","date","domainID","siteID","plotID","plotType","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","easting","northing","utmZone","elevation","elevationUncertainty","eventID","samplingProtocolVersion","treesPresent","treesAbsentList","shrubsPresent","shrubsAbsentList","lianasPresent","lianasAbsentList","nestedSubplotAreaShrubSapling","nestedSubplotAreaLiana","totalSampledAreaTrees","totalSampledAreaShrubSapling","totalSampledAreaLiana","remarks","measuredBy","recordedBy","dataQF"
"161dd069-9bdf-47c1-a678-eb06d4627e12","GUAN_043.basePlot.vst","2015-05-12","D04","GUAN","GUAN_043","tower","evergreenForest",17.968869,-66.867682,"WGS84",20.1,725814.84,1988038.07,"19N",115.9,0.1,"vst_GUAN_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","noneSelected",800,100,800,NA,"8rHzSbnDOXhpq1RB6lSoH2hgWBtav0ErlRGPB+twq8M=","fiApssCEcSVZh4fTchGlfQK3pYYnYQUQ","legacyData"
"d3843560-ba05-4eb3-b963-96d18e4317d1","GUAN_043.basePlot.vst","2015-05-13","D04","GUAN","GUAN_043","tower","evergreenForest",17.968869,-66.867682,"WGS84",20.1,725814.84,1988038.07,"19N",115.9,0.1,"vst_GUAN_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","noneSelected",800,100,800,NA,"RS9r3fYolQ8OjMegYBbIjMNwHRFQe/2+","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","legacyData"
"9ab76170-542c-4225-a52a-3b75ff42cc4c","GUAN_043.basePlot.vst","2015-06-02","D04","GUAN","GUAN_043","tower","evergreenForest",17.968869,-66.867682,"WGS84",20.1,725814.84,1988038.07,"19N",115.9,0.1,"vst_GUAN_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","100",800,100,400,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","fiApssCEcSVZh4fTchGlfQK3pYYnYQUQ","legacyData"
"1d86d565-b874-4d71-92bc-0a2ef7985fb1","GUAN_043.basePlot.vst","2015-06-03","D04","GUAN","GUAN_043","tower","evergreenForest",17.968869,-66.867682,"WGS84",20.1,725814.84,1988038.07,"19N",115.9,0.1,"vst_GUAN_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","100",800,100,400,"","g9AObJQf3eYzNZZz0BsTL537QdYJU5Tw+SySeK96nKQ=","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","legacyData"
"b81ed251-902b-4110-9772-96700d9b1cec","GUAN_043.basePlot.vst","2015-06-03","D04","GUAN","GUAN_043","tower","evergreenForest",17.968869,-66.867682,"WGS84",20.1,725814.84,1988038.07,"19N",115.9,0.1,"vst_GUAN_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","100",800,100,400,"","g9AObJQf3eYkUFZYJaxA4ygWnVX2Kjzk","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","legacyData"
"4ec2bcfd-8d25-484b-8203-343bd582313c","GUAN_043.basePlot.vst","2015-06-04","D04","GUAN","GUAN_043","tower","evergreenForest",17.968869,-66.867682,"WGS84",20.1,725814.84,1988038.07,"19N",115.9,0.1,"vst_GUAN_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","100",800,100,400,"","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","8rHzSbnDOXhpq1RB6lSoH2hgWBtav0ErlRGPB+twq8M=","legacyData"
"cb36756d-61fa-47f0-9d6c-d3d9baf4aa77","GUAN_052.basePlot.vst","2015-06-04","D04","GUAN","GUAN_052","tower","evergreenForest",17.968041,-66.86713,"WGS84",20.1,725874.37,1987947.08,"19N",111.7,0.1,"vst_GUAN_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"10","noneSelected",800,40,800,"Lianas were measured in all subplot, not enough individuals in nested.","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","8rHzSbnDOXhpq1RB6lSoH2hgWBtav0ErlRGPB+twq8M=","legacyData"
"73451fd6-dddd-406f-8f65-ab15c282d0d6","GUAN_052.basePlot.vst","2015-06-04","D04","GUAN","GUAN_052","tower","evergreenForest",17.968041,-66.86713,"WGS84",20.1,725874.37,1987947.08,"19N",111.7,0.1,"vst_GUAN_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"10","noneSelected",800,40,800,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","8rHzSbnDOXhpq1RB6lSoH2hgWBtav0ErlRGPB+twq8M=","legacyData"
"d812377f-cb9b-4417-99e4-3e288d8dc8db","GUAN_052.basePlot.vst","2015-06-08","D04","GUAN","GUAN_052","tower","evergreenForest",17.968041,-66.86713,"WGS84",20.1,725874.37,1987947.08,"19N",111.7,0.1,"vst_GUAN_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"10","noneSelected",800,40,800,"Lianas were measured in all subplot, not enough individuals in nested.","8rHzSbnDOXhpq1RB6lSoH2hgWBtav0ErlRGPB+twq8M=","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","legacyData"
"a2de9617-e9ff-421b-8abf-ed3d2c41a606","GUAN_052.basePlot.vst","2015-06-08","D04","GUAN","GUAN_052","tower","evergreenForest",17.968041,-66.86713,"WGS84",20.1,725874.37,1987947.08,"19N",111.7,0.1,"vst_GUAN_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"10","noneSelected",800,40,800,"Lianas were measured in all subplot, no enough individuals in nested.","8rHzSbnDOXhpq1RB6lSoH2hgWBtav0ErlRGPB+twq8M=","bhzZP3Y0xKGj5tQFevjoL8SD9yIOx3Ri","legacyData"
