"uid","namedLocation","date","eventID","domainID","siteID","plotID","individualID","tagStatus","growthForm","plantStatus","stemDiameter","measurementHeight","height","baseCrownHeight","breakHeight","breakDiameter","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","shape","basalStemDiameter","basalStemDiameterMsrmntHeight","maxBaseCrownDiameter","ninetyBaseCrownDiameter","remarks","recordedBy","measuredBy","dataQF"
"f4fc6b8f-c241-4564-a3bf-18f27ca01bc4","OSBS_003.basePlot.vst","2014-09-18","vst_OSBS_2014","D03","OSBS","OSBS_003","NEON.PLA.D03.OSBS.06226",NA,"sapling","Live",1.2,10,0.4,NA,NA,NA,NA,NA,"Full shade","",NA,NA,NA,NA,"",NA,NA,"legacyData"
"86e617db-8e48-439d-be55-652076326de5","OSBS_003.basePlot.vst","2014-09-18","vst_OSBS_2014","D03","OSBS","OSBS_003","NEON.PLA.D03.OSBS.06236",NA,"sapling","Live",1.8,10,0.4,NA,NA,NA,NA,NA,"Full shade","",NA,NA,NA,NA,"",NA,NA,"legacyData"
"d315c797-3843-40bb-9a2d-750ce9a6e1b7","OSBS_003.basePlot.vst","2014-09-18","vst_OSBS_2014","D03","OSBS","OSBS_003","NEON.PLA.D03.OSBS.06049",NA,"sapling","Live",1.3,10,1,NA,NA,NA,NA,NA,"Full shade","",NA,NA,NA,NA,"",NA,NA,"legacyData"
"e3ec6cf8-d50a-4f04-9f6f-5c4dfbdcca5d","OSBS_003.basePlot.vst","2014-09-18","vst_OSBS_2014","D03","OSBS","OSBS_003","NEON.PLA.D03.OSBS.06043",NA,"small tree","Live",2.3,130,1.3,NA,NA,NA,1.7,1.3,"Full shade","cylinder",NA,NA,NA,NA,"",NA,NA,"legacyData"
"94dd1cf9-78c2-42e2-94b4-6f1429547af7","OSBS_003.basePlot.vst","2014-09-18","vst_OSBS_2014","D03","OSBS","OSBS_003","NEON.PLA.D03.OSBS.01827",NA,"sapling","Live",1.7,10,0.1,NA,NA,NA,1.1,0.7,"Full shade","",NA,NA,NA,NA,"",NA,NA,"legacyData"
"22a36241-121d-436a-bf96-f6081362a19f","OSBS_003.basePlot.vst","2014-09-18","vst_OSBS_2014","D03","OSBS","OSBS_003","NEON.PLA.D03.OSBS.06222",NA,"small tree","Live",1.6,130,1,NA,NA,NA,NA,NA,"Full shade","",NA,NA,NA,NA,"",NA,NA,"legacyData"
"5be93cb2-e54a-4b3e-82da-425db1de0576","OSBS_003.basePlot.vst","2014-09-18","vst_OSBS_2014","D03","OSBS","OSBS_003","NEON.PLA.D03.OSBS.06071",NA,"sapling","Live",1.3,10,0.4,NA,NA,NA,NA,NA,"Full shade","",NA,NA,NA,NA,"",NA,NA,"legacyData"
"0fc58e38-f9c3-4703-b730-9aaf8abfd0e4","OSBS_003.basePlot.vst","2014-09-18","vst_OSBS_2014","D03","OSBS","OSBS_003","NEON.PLA.D03.OSBS.06064",NA,"single bole tree","Standing dead",19,130,0.6,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,"Can not enter canopy position; Transcription Error Fixed",NA,NA,"legacyData"
"543241ea-7275-42af-bb2e-a1b8fe9963bf","OSBS_003.basePlot.vst","2014-09-18","vst_OSBS_2014","D03","OSBS","OSBS_003","NEON.PLA.D03.OSBS.06225",NA,"small tree","Live",1.2,130,0.2,NA,NA,NA,NA,NA,"Full shade","",NA,NA,NA,NA,"",NA,NA,"legacyData"
"6d8c788d-9186-409a-a928-259114706296","OSBS_003.basePlot.vst","2014-09-18","vst_OSBS_2014","D03","OSBS","OSBS_003","NEON.PLA.D03.OSBS.06061",NA,"small tree","Live",2.1,130,1.1,NA,NA,NA,NA,NA,"Full shade","",NA,NA,NA,NA,"",NA,NA,"legacyData"
